iter	Logloss
0	0.6863231471
1	0.6792848633
2	0.6724174981
3	0.6667392557
4	0.6617295949
5	0.6572010675
6	0.6523934362
7	0.64878584
8	0.644648905
9	0.6407689588
10	0.6371292835
11	0.6341502323
12	0.6308347904
13	0.6280331202
14	0.6249438294
15	0.6221684899
16	0.6200261766
17	0.617851731
18	0.6152107629
19	0.6131444078
20	0.6116879678
21	0.6100758759
22	0.6084031655
23	0.606720086
24	0.6047102394
25	0.6031420737
26	0.6015540695
27	0.6000201251
28	0.5983639673
29	0.5968910156
30	0.5958289969
31	0.5947625957
32	0.5939799441
33	0.592276831
34	0.5912436925
35	0.5901541818
36	0.588916948
37	0.5876120731
38	0.5866444189
39	0.5854542148
40	0.5844341803
41	0.5832020287
42	0.5823818444
43	0.5815521475
44	0.580423412
45	0.5793301576
46	0.5782230872
47	0.5775161369
48	0.576505706
49	0.5755457049
50	0.5746753062
51	0.5739739021
52	0.5733753419
53	0.5722199108
54	0.5714705278
55	0.5706979691
56	0.5699882928
57	0.5688047102
58	0.568155763
59	0.5676160047
60	0.5670829229
61	0.5664149879
62	0.5657196091
63	0.5651247185
64	0.564356892
65	0.5633780283
66	0.5628495219
67	0.5623248781
68	0.5614681374
69	0.5607063646
70	0.560004817
71	0.5595537741
72	0.5589417517
73	0.5581680452
74	0.5576491442
75	0.5570953909
76	0.5564387741
77	0.5559441807
78	0.5553793669
79	0.5548195059
80	0.5543581294
81	0.5537077096
82	0.5533414616
83	0.5528267328
84	0.5522280239
85	0.5517440747
86	0.5514278018
87	0.5506486318
88	0.5501486187
89	0.54969052
90	0.5491800605
91	0.5486508107
92	0.548118124
93	0.5476689089
94	0.5471609386
95	0.546315561
96	0.5458187587
97	0.5453591039
98	0.5448336152
99	0.5443744923
100	0.5438207589
101	0.5433949388
102	0.5428307262
103	0.5422574954
104	0.5418720586
105	0.5415139484
106	0.5411068708
107	0.5406699832
108	0.5401594434
109	0.5397366341
110	0.5393831354
111	0.5389804981
112	0.5385206324
113	0.5379647329
114	0.5374812208
115	0.5369980337
116	0.5366548837
117	0.53635611
118	0.5359591169
119	0.5356628885
120	0.5351896966
121	0.5348943101
122	0.5345779571
123	0.5343546142
124	0.5338301746
125	0.5335390074
126	0.5332046628
127	0.5327804227
128	0.532425834
129	0.5321276472
130	0.5315873816
131	0.5312237797
132	0.530904934
133	0.5304769353
134	0.5301374461
135	0.5297263351
136	0.5294573341
137	0.5291631958
138	0.5288537137
139	0.5285213199
140	0.528182894
141	0.5277537649
142	0.527339041
143	0.5268057667
144	0.5265721447
145	0.5261901353
146	0.5258848911
147	0.5254784549
148	0.5251470426
149	0.5249156286
150	0.5246548174
151	0.5242925413
152	0.5239647228
153	0.52359285
154	0.5232507358
155	0.523028108
156	0.5227138574
157	0.5224834758
158	0.5221731892
159	0.5218139495
160	0.5215207697
161	0.5213177664
162	0.5211675336
163	0.5208578283
164	0.5205793465
165	0.5202416451
166	0.5198749244
167	0.519613722
168	0.5194213489
169	0.5190419041
170	0.5187233817
171	0.5183930999
172	0.5181883529
173	0.5179426862
174	0.5177152501
175	0.5174077027
176	0.5171674953
177	0.5168807647
178	0.5166625082
179	0.5163226217
180	0.5161172726
181	0.5159703566
182	0.5156912474
183	0.5154761883
184	0.5152768686
185	0.5149588145
186	0.5147891211
187	0.5145906523
188	0.5144072191
189	0.5142186671
190	0.5139283376
191	0.5136848446
192	0.5133403812
193	0.5130983229
194	0.5129237489
195	0.5126868206
196	0.5123747703
197	0.5122412647
198	0.5121004279
199	0.5118161063
200	0.5114869652
201	0.5111765374
202	0.5109881164
203	0.5107466049
204	0.510568605
205	0.5102822845
206	0.5100970705
207	0.5099168857
208	0.5096976369
209	0.5094443996
210	0.5092718349
211	0.509121566
212	0.5088665974
213	0.5086599221
214	0.5082671213
215	0.5079890534
216	0.5077228316
217	0.5075023962
218	0.5073029973
219	0.5071303692
220	0.5068991926
221	0.5066288256
222	0.5064229704
223	0.5062595064
224	0.5060719193
225	0.5058071922
226	0.505652302
227	0.5055368676
228	0.5053077386
229	0.5051027562
230	0.5049405423
231	0.5047188518
232	0.5044912408
233	0.5042883494
234	0.5041132803
235	0.5038033538
236	0.503604597
237	0.5034507596
238	0.5031774875
239	0.5028624969
240	0.5026542114
241	0.5024084004
242	0.502234564
243	0.5020066699
244	0.5018776456
245	0.5016406138
246	0.5015021976
247	0.5013379439
248	0.5011151911
249	0.5009899871
250	0.5008565696
251	0.5006566378
252	0.5005081833
253	0.5003305825
254	0.5001381551
255	0.4999762182
256	0.4996536654
257	0.4994463041
258	0.4992961956
259	0.4991532488
260	0.4988905983
261	0.4986311724
262	0.4985106851
263	0.4982651421
264	0.4981003095
265	0.4979368973
266	0.4977492683
267	0.4976087551
268	0.4974344836
