iter	Passed	Remaining
0	166	165969
1	186	93005
2	204	68018
3	222	55406
4	240	47820
5	257	42686
6	274	38957
7	292	36226
8	309	34104
9	326	32322
10	343	30861
11	358	29499
12	373	28326
13	393	27704
14	411	26991
15	429	26432
16	445	25755
17	461	25159
18	476	24587
19	490	24031
20	503	23463
21	516	22958
22	529	22474
23	542	22072
24	555	21683
25	569	21321
26	582	20979
27	595	20663
28	608	20377
29	621	20080
30	633	19811
31	647	19587
32	659	19331
33	672	19097
34	687	18948
35	702	18821
36	719	18717
37	731	18530
38	745	18368
39	757	18174
40	770	18030
41	787	17958
42	802	17862
43	817	17753
44	830	17626
45	843	17491
46	855	17355
47	868	17223
48	881	17103
49	894	16997
50	909	16923
51	923	16830
52	935	16716
53	949	16639
54	961	16526
55	974	16432
56	989	16376
57	1005	16325
58	1023	16317
59	1040	16293
60	1054	16228
61	1068	16163
62	1082	16099
63	1095	16015
64	1108	15944
65	1122	15890
66	1136	15826
67	1148	15740
68	1162	15680
69	1176	15624
70	1189	15564
71	1201	15488
72	1214	15425
73	1228	15375
74	1240	15302
75	1253	15243
76	1266	15183
77	1279	15120
78	1292	15073
79	1306	15023
80	1320	14980
81	1334	14943
82	1349	14906
83	1362	14856
84	1377	14833
85	1390	14776
86	1402	14715
87	1415	14674
88	1429	14629
89	1441	14578
90	1454	14530
91	1467	14486
92	1480	14437
93	1493	14397
94	1506	14353
95	1520	14315
96	1533	14278
97	1547	14244
98	1559	14193
99	1572	14154
100	1586	14122
101	1601	14098
102	1615	14068
103	1630	14045
104	1647	14041
105	1666	14055
106	1681	14032
107	1694	13994
108	1709	13970
109	1722	13938
110	1736	13903
111	1749	13869
112	1762	13838
113	1776	13808
114	1790	13776
115	1803	13743
116	1816	13711
117	1830	13681
118	1844	13655
119	1857	13624
120	1871	13597
121	1885	13567
122	1900	13551
123	1918	13554
124	1938	13569
125	1954	13559
126	1970	13545
127	1985	13523
128	1999	13503
129	2013	13473
130	2027	13448
131	2041	13423
132	2055	13396
133	2068	13369
134	2082	13340
135	2096	13316
136	2110	13292
137	2124	13269
138	2138	13243
139	2151	13218
140	2165	13191
141	2179	13168
142	2193	13146
143	2210	13139
144	2225	13120
145	2241	13111
146	2259	13113
147	2279	13124
148	2294	13105
149	2307	13078
150	2320	13048
151	2336	13036
152	2350	13013
153	2364	12989
154	2378	12965
155	2391	12938
156	2405	12913
157	2418	12886
158	2432	12863
159	2445	12841
160	2462	12833
161	2477	12813
162	2493	12806
163	2512	12809
164	2530	12806
165	2546	12796
166	2569	12819
167	2590	12828
168	2605	12813
169	2619	12788
170	2633	12769
171	2649	12755
172	2662	12727
173	2675	12701
174	2689	12678
175	2702	12654
176	2715	12626
177	2729	12605
178	2742	12579
179	2755	12554
180	2769	12532
181	2782	12506
182	2795	12480
183	2810	12461
184	2828	12461
185	2842	12441
186	2857	12423
187	2874	12413
188	2890	12403
189	2904	12383
190	2917	12357
191	2930	12331
192	2941	12301
193	2954	12275
194	2966	12246
195	2978	12218
196	2991	12195
197	3003	12167
198	3015	12139
199	3028	12114
200	3041	12089
201	3055	12071
202	3067	12044
203	3079	12017
204	3091	11989
205	3106	11974
206	3122	11960
207	3135	11939
208	3149	11920
209	3166	11912
210	3181	11895
211	3194	11873
212	3207	11850
213	3220	11827
214	3233	11804
215	3245	11779
216	3258	11759
217	3271	11734
218	3285	11716
219	3298	11693
220	3310	11668
221	3323	11648
222	3335	11623
223	3348	11598
224	3361	11577
225	3374	11556
226	3387	11534
227	3400	11513
228	3415	11499
229	3430	11483
230	3445	11469
231	3459	11452
232	3474	11438
233	3490	11425
234	3502	11400
