latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.79904,79.35986,301.25,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,283.35,0.55,N,0
29.87692,78.9929,300.4,0.36,0.58,2024-04-06,2110,N,VIIRS,n,2,282.63,0.51,N,0
29.67619,79.60061,302.31,0.4,0.6,2024-04-06,2110,N,VIIRS,n,2,283.53,0.52,N,0
29.67637,79.5985,298.0,0.4,0.6,2024-04-06,2110,N,VIIRS,n,2,282.03,0.86,N,0
29.55778,80.03355,298.18,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,286.59,0.44,N,0
29.62916,79.72021,295.02,0.41,0.6,2024-04-06,2110,N,VIIRS,n,2,281.35,0.44,N,0
29.55362,80.00231,302.1,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,286.9,1.2,N,0
29.54848,79.99903,303.79,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,286.77,1.08,N,0
29.54759,80.00262,299.68,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,286.93,1.0,N,0
29.59487,79.74057,305.76,0.41,0.6,2024-04-06,2110,N,VIIRS,n,2,281.51,0.85,N,0
29.74566,79.07848,299.04,0.37,0.58,2024-04-06,2110,N,VIIRS,n,2,285.2,0.51,N,0
29.52242,79.98414,296.53,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,285.04,0.4,N,0
29.49759,80.05927,297.66,0.43,0.62,2024-04-06,2110,N,VIIRS,n,2,285.39,0.92,N,0
29.79237,78.81641,300.84,0.36,0.57,2024-04-06,2110,N,VIIRS,n,2,284.62,1.34,N,0
29.78718,78.815,310.87,0.36,0.57,2024-04-06,2110,N,VIIRS,n,2,286.4,1.34,N,0
29.78633,78.81853,302.93,0.36,0.57,2024-04-06,2110,N,VIIRS,n,2,285.38,0.95,N,0
29.6809,79.25122,296.68,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,283.72,0.4,N,0
29.52037,79.8035,295.83,0.41,0.61,2024-04-06,2110,N,VIIRS,n,2,284.07,0.72,N,0
29.51939,79.80743,298.98,0.41,0.61,2024-04-06,2110,N,VIIRS,n,2,284.79,0.72,N,0
29.46274,80.03139,296.95,0.43,0.62,2024-04-06,2110,N,VIIRS,n,2,286.44,1.01,N,0
29.52192,79.8062,305.9,0.41,0.61,2024-04-06,2110,N,VIIRS,n,2,284.95,1.12,N,0
29.46577,80.0347,299.97,0.43,0.62,2024-04-06,2110,N,VIIRS,n,2,286.54,0.85,N,0
29.55093,79.61574,295.93,0.4,0.6,2024-04-06,2110,N,VIIRS,n,2,282.5,0.56,N,0
29.64,79.20175,296.96,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,285.5,0.44,N,0
29.44955,79.93169,297.58,0.42,0.61,2024-04-06,2110,N,VIIRS,n,2,285.32,0.61,N,0
29.66151,79.04242,298.66,0.37,0.58,2024-04-06,2110,N,VIIRS,n,2,285.68,0.6,N,0
29.77577,78.51894,302.68,0.34,0.56,2024-04-06,2110,N,VIIRS,n,2,289.87,0.86,N,0
29.59752,79.25963,300.27,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,285.55,0.82,N,0
29.59681,79.26255,309.0,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,285.11,0.82,N,0
29.77058,78.51791,300.18,0.34,0.56,2024-04-06,2110,N,VIIRS,n,2,289.31,0.86,N,0
29.76976,78.52138,316.78,0.34,0.56,2024-04-06,2110,N,VIIRS,n,2,291.32,0.86,N,0
29.59113,79.2625,296.8,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,285.54,0.82,N,0
29.59035,79.26567,302.75,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,285.67,1.09,N,0
29.57969,79.26266,305.9,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,286.58,1.52,N,0
29.53641,79.43883,296.49,0.39,0.59,2024-04-06,2110,N,VIIRS,n,2,285.23,0.4,N,0
29.53571,79.44165,299.66,0.39,0.6,2024-04-06,2110,N,VIIRS,n,2,284.2,0.4,N,0
29.57551,79.25648,303.44,0.38,0.59,2024-04-06,2110,N,VIIRS,n,2,286.91,1.05,N,0
29.53065,79.43877,297.5,0.39,0.59,2024-04-06,2110,N,VIIRS,n,2,284.83,1.13,N,0
29.52997,79.44154,295.52,0.39,0.6,2024-04-06,2110,N,VIIRS,n,2,284.87,1.13,N,0
29.52426,79.44129,318.47,0.39,0.6,2024-04-06,2110,N,VIIRS,n,2,286.05,1.13,N,0
29.52349,79.44441,303.11,0.39,0.6,2024-04-06,2110,N,VIIRS,n,2,285.66,1.42,N,0
29.52768,79.35767,296.25,0.39,0.59,2024-04-06,2110,N,VIIRS,n,2,285.01,0.51,N,0
29.31504,80.24657,297.16,0.44,0.63,2024-04-06,2111,N,VIIRS,n,2,286.24,0.51,N,0
29.55826,79.22433,297.54,0.38,0.59,2024-04-06,2111,N,VIIRS,n,2,286.98,0.25,N,0
29.3116,80.23603,298.8,0.44,0.62,2024-04-06,2111,N,VIIRS,n,2,286.36,0.9,N,0
29.47235,79.48519,301.81,0.4,0.6,2024-04-06,2111,N,VIIRS,n,2,285.05,0.78,N,0
29.46734,79.48205,303.79,0.4,0.6,2024-04-06,2111,N,VIIRS,n,2,285.06,0.73,N,0
