latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.15471,96.98598,337.41,0.46,0.39,2026-02-14,637,N,nominal,2.0NRT,306.06,4.1,D
21.64153,95.69396,346.59,0.51,0.41,2026-02-14,637,N,nominal,2.0NRT,312.03,5.85,D
15.8072,95.51389,345.85,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,307.0,6.28,D
15.8121,95.51705,350.81,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,307.95,9.91,D
15.81138,95.5131,341.14,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,304.05,9.91,D
15.79918,94.95432,331.74,0.46,0.47,2026-02-14,635,N,low,2.0NRT,305.52,3.29,D
15.87341,94.70091,341.72,0.48,0.48,2026-02-14,635,N,nominal,2.0NRT,307.27,2.38,D
16.07199,95.44357,341.9,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,308.15,3.25,D
16.07688,95.44672,342.44,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,309.61,7.59,D
16.07617,95.44276,356.16,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,312.78,7.16,D
16.07545,95.4388,336.88,0.43,0.46,2026-02-14,635,N,low,2.0NRT,310.17,7.16,D
15.99317,94.98328,336.63,0.46,0.47,2026-02-14,635,N,nominal,2.0NRT,304.98,2.36,D
16.10266,95.47037,353.84,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,310.09,9.41,D
16.09963,95.47099,335.29,0.42,0.45,2026-02-14,635,N,low,2.0NRT,308.76,5.08,D
16.10379,95.47019,349.26,0.42,0.45,2026-02-14,635,N,nominal,2.0NRT,309.28,6.82,D
16.1141,95.45596,335.4,0.42,0.46,2026-02-14,635,N,low,2.0NRT,307.68,2.38,D
16.12369,95.43774,334.43,0.43,0.46,2026-02-14,635,N,low,2.0NRT,306.96,2.34,D
16.10831,95.35414,348.81,0.43,0.46,2026-02-14,635,N,nominal,2.0NRT,309.13,7.05,D
16.20259,95.08681,356.34,0.45,0.47,2026-02-14,635,N,nominal,2.0NRT,307.24,8.57,D
16.20686,95.08598,340.67,0.45,0.47,2026-02-14,635,N,nominal,2.0NRT,304.81,8.57,D
16.46932,96.18928,341.85,0.57,0.43,2026-02-14,635,N,nominal,2.0NRT,309.97,8.08,D
