latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,month,weight
11.28149,78.47792,353.44,0.38,0.59,2024-05-08,841,N,VIIRS,n,2,291.6,6.17,D,0,5,5.0
30.31877,77.25584,330.62,0.5,0.49,2025-05-10,726,N,VIIRS,l,2,301.63,1.3,D,0,5,5.0
24.86607,86.08923,346.06,0.41,0.45,2025-03-27,748,N,VIIRS,n,2,315.35,5.15,D,0,3,5.0
24.64536,93.35661,300.44,0.39,0.36,2025-03-08,1931,N,VIIRS,n,2,286.77,0.63,N,0,3,5.0
18.43235,81.0227,336.59,0.49,0.4,2024-03-30,734,N,VIIRS,l,2,310.84,3.11,D,0,3,5.0
18.42886,81.08973,337.79,0.49,0.4,2024-03-30,734,N,VIIRS,l,2,309.9,3.41,D,0,3,5.0
18.26823,83.76664,336.66,0.38,0.36,2024-03-03,740,N,VIIRS,n,2,305.47,2.38,D,0,3,5.0
21.96224,79.33825,332.0,0.68,0.74,2025-04-20,658,N,VIIRS,l,2,306.08,3.68,D,0,4,5.0
15.90609,79.0078,332.94,0.45,0.47,2025-03-09,823,N,VIIRS,l,2,306.14,3.36,D,0,3,5.0
21.1792,76.49872,305.3,0.38,0.59,2025-03-24,2112,N,VIIRS,n,2,293.36,2.83,N,0,3,5.0
30.26132,78.57579,339.95,0.4,0.37,2024-02-10,756,N,VIIRS,n,2,298.27,6.1,D,0,2,5.0
29.96184,75.3723,349.22,0.53,0.5,2025-05-15,732,N,VIIRS,n,2,311.44,8.17,D,0,5,5.0
22.1042,79.29788,339.16,0.56,0.51,2025-04-10,825,N,VIIRS,l,2,310.38,15.44,D,0,4,5.0
18.88695,80.62724,345.67,0.32,0.54,2024-04-07,824,N,VIIRS,n,2,304.59,4.28,D,0,4,5.0
24.3138,77.25567,355.65,0.38,0.36,2024-04-03,801,N,VIIRS,n,2,325.35,19.93,D,0,4,5.0
20.86358,84.99315,312.62,0.55,0.51,2024-04-03,2029,N,VIIRS,n,2,293.27,2.33,N,2,4,5.0
29.28696,79.93984,305.55,0.42,0.38,2024-04-25,2014,N,VIIRS,n,2,289.17,1.29,N,0,4,5.0
25.2207,91.46972,333.56,0.39,0.36,2025-02-20,704,N,VIIRS,n,2,302.18,5.36,D,0,2,5.0
32.99683,75.15649,311.06,0.39,0.36,2024-06-10,2050,N,VIIRS,n,2,292.12,1.18,N,0,6,5.0
13.37461,80.0831,338.83,0.5,0.49,2024-04-23,823,N,VIIRS,n,2,308.54,4.74,D,0,4,5.0
26.32236,94.44282,326.27,0.39,0.59,2025-03-11,608,N,VIIRS,n,2,296.04,3.47,D,0,3,5.0
19.01262,80.10518,317.13,0.36,0.57,2024-03-26,1939,N,VIIRS,n,2,292.48,2.69,N,0,3,5.0
18.49692,73.04298,339.84,0.39,0.36,2024-04-23,825,N,VIIRS,n,2,306.54,2.94,D,0,4,5.0
23.37814,83.61664,341.41,0.4,0.37,2024-05-06,741,N,VIIRS,l,2,312.08,4.79,D,0,5,5.0
21.15821,81.46674,333.64,0.38,0.36,2024-11-19,746,N,VIIRS,n,2,300.95,2.83,D,0,11,1.0
24.58434,75.13264,349.59,0.47,0.4,2025-04-01,754,N,VIIRS,n,2,318.66,5.3,D,0,4,5.0
23.29329,76.08105,334.45,0.41,0.6,2024-04-05,723,N,VIIRS,n,2,303.91,2.29,D,0,4,5.0
15.25323,74.89374,342.3,0.39,0.36,2025-02-16,817,N,VIIRS,n,2,309.65,4.15,D,0,2,5.0
18.79743,80.60884,308.76,0.42,0.45,2025-03-07,1952,N,VIIRS,n,2,295.06,1.86,N,0,3,5.0
12.87699,77.85834,337.34,0.48,0.4,2024-02-26,751,N,VIIRS,l,2,309.07,14.32,D,0,2,5.0
21.21952,81.92587,342.95,0.4,0.45,2025-03-10,806,N,VIIRS,n,2,308.8,3.64,D,0,3,5.0
18.05809,83.29908,333.53,0.36,0.58,2024-04-02,818,N,VIIRS,n,2,301.7,1.71,D,0,4,5.0
19.28255,73.17219,341.74,0.39,0.36,2024-03-06,824,N,VIIRS,l,2,315.8,6.37,D,0,3,5.0
21.26606,83.02644,342.52,0.52,0.41,2025-05-10,723,N,VIIRS,n,2,311.86,15.26,D,0,5,5.0
24.61582,80.70121,348.18,0.39,0.36,2025-05-14,749,N,VIIRS,n,2,317.82,44.46,D,0,5,5.0
25.46715,77.83131,353.63,0.39,0.36,2025-04-06,801,N,VIIRS,n,2,320.13,7.65,D,0,4,5.0
26.88726,82.84415,311.31,0.39,0.36,2024-04-25,2015,N,VIIRS,n,2,291.66,0.69,N,0,4,5.0
23.46594,92.79538,342.87,0.33,0.55,2024-03-14,735,N,VIIRS,n,2,294.01,4.89,D,0,3,5.0
21.82628,77.81425,367.0,0.35,0.57,2025-03-19,837,N,VIIRS,h,2,309.14,7.68,D,0,3,5.0
29.62723,79.53832,344.44,0.41,0.37,2024-06-17,755,N,VIIRS,n,2,308.87,6.03,D,0,6,5.0
12.86261,77.25856,341.17,0.49,0.4,2024-03-22,823,N,VIIRS,n,2,308.48,4.77,D,0,3,5.0
29.45992,79.54856,296.43,0.51,0.5,2025-02-08,1955,N,VIIRS,n,2,278.83,1.31,N,0,2,5.0
13.10392,78.6845,332.33,0.4,0.44,2024-02-19,823,N,VIIRS,l,2,303.88,2.26,D,0,2,5.0
16.78211,75.58369,340.49,0.45,0.39,2025-04-26,824,N,VIIRS,l,2,311.86,8.16,D,0,4,5.0
27.15608,82.58026,302.94,0.48,0.65,2024-04-17,1924,N,VIIRS,n,2,290.53,1.17,N,0,4,5.0
21.7908,84.21925,345.54,0.38,0.36,2025-03-17,734,N,VIIRS,n,2,302.53,3.02,D,0,3,5.0
18.66775,83.06443,342.36,0.58,0.52,2024-04-27,709,N,VIIRS,n,2,299.45,5.81,D,0,4,5.0
14.47296,76.88844,349.34,0.53,0.5,2025-02-18,739,N,VIIRS,n,2,315.79,4.78,D,0,2,5.0
22.04266,83.73253,367.0,0.34,0.56,2025-02-27,2041,N,VIIRS,h,2,300.5,9.88,N,2,2,5.0
17.82624,82.05363,341.85,0.4,0.37,2024-04-04,740,N,VIIRS,n,2,307.3,4.58,D,0,4,5.0
31.97262,75.01764,336.25,0.5,0.49,2025-05-15,732,N,VIIRS,l,2,306.65,4.25,D,0,5,5.0
19.45864,80.75162,331.92,0.4,0.44,2025-03-31,812,N,VIIRS,l,2,306.88,2.02,D,0,3,5.0
